Chi?u cao (mét),Cân n?ng (Kg) ví d?: 65,S? b?a ?n trong ngày,T?n su?t ?n sáng trong tu?n (??c tính bu?i/tu?n),T?n su?t ?n t?i (sau 21h) trong tu?n (??c tính b?a/tu?n),"T?n su?t s? d?ng th?c ?n nhanh nh? pizza, hamburger (??c tính b?a/tu?n)",L??ng rau c? tiêu th? trong m?i b?a ?n (??c tính gam/b?a ?n),L??ng n??c tiêu th? m?i ngày (??c tính lít/ngày),"Tiêu th? th?c ph?m giàu protein nh?: Th?t bò, th?t gà, phô mai, tr?ng, s?a... (??c tính gam/b?a ?n)",Th?i gian t?p th? d?c trong tu?n (??c tính gi?/tu?n),T?n su?t tham gia các ho?t ??ng th? d?c th? thao (??c tính gi?/tu?n),T?n su?t s? d?ng r??u bia và ?? u?ng có c?n,Hút thu?c lá và các lo?i thu?c ch?a nicotine,Th?i gian ng? trung bình m?i ngày (ti?ng/ngày),Yêu c?u v? ho?t ??ng th? ch?t (lao ??ng chân tay) trong công vi?c hi?n t?i,Khu v?c s?ng có công viên không,"Th?i gian s? d?ng thi?t b? công ngh? (?i?n tho?i, máy tính. laptop...) trong ngày (gi?/ngày)","Tr?m c?m, lo âu và các v?n ?? không ?n ??nh tâm lý"
180,67,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,Trên 4 gi?,Nhi?u,Không,10,3,Có,8,Có
175,58,4,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,6-7 ti?ng,2,Có,7 ti?ng,Không
175,58,4,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,6-7 ti?ng,2,Có,7 ti?ng,Không
165,49,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,8 Gi?,1,Không,2-3 gi?,Không
168cm,90kg,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,6-7 gi?,1,Không,0,Không
1m58 ,47,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Trên 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,5,1,Không,12,Có
168,64,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Ít,Không,8ti?ng,2,Không,3gi?,Không
1m67,63,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Trên 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,7 ti?ng,1,Có,10,Không
1m49,45,4,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Trung bình,Không,2 ti?ng,2,Không,15/24,Không
1m77,65,4,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,5,2,Có,4h,Có
